Date,Quantity,Weight_KG,Value_Thousand_JPY
2020-01-01,69735404,312587,35796452
2020-02-01,142225482,663378,75027672
2020-03-01,226279270,1025635,116852745
2020-04-01,304706506,1371240,157507263
2020-05-01,379283242,1678144,194958996
2020-06-01,450346147,1956028,228698845
2020-07-01,533757421,2278560,267251176
2020-08-01,626683286,2627193,309303325
2020-09-01,731774387,3025964,356826907
2020-10-01,840807333,3434159,404825058
2020-11-01,937430645,3825396,449653771
2020-12-01,1046754180,4271573,499453825
2021-01-01,95375371,390370,43716609
2021-02-01,189571974,785167,88815691
2021-03-01,278809613,1204762,135315759
2021-04-01,377089444,1639924,184997780
2021-05-01,462994324,2077966,232226636
2021-06-01,557910490,2514610,283269603
2021-07-01,661257165,2963202,338745249
2021-08-01,760915370,3399763,392235786
2021-09-01,873328206,3838281,450407797
2021-10-01,961462462,4266600,504514250
2021-11-01,1050620014,4651124,556304718
2021-12-01,1146937044,5082908,613790347
2022-01-01,81824609,388510,50635209
2022-02-01,156901961,751483,97628826
2022-03-01,240982591,1173125,150483557
2022-04-01,331704067,1577205,207098468
2022-05-01,408222655,1956824,261728868
2022-06-01,477588661,2340965,314210040
2022-07-01,559501757,2725657,371323648
2022-08-01,642688488,3090923,427416671
2022-09-01,735388501,3471459,487074457
2022-10-01,816272092,3858449,543547762
2022-11-01,882346690,4204605,593402424
2022-12-01,960820145,4609028,648716953
2023-01-01,58110194,293990,39168735
2023-02-01,101652033,608910,76199085
2023-03-01,156306430,965596,119227568
2023-04-01,224728732,1348330,169141700
2023-05-01,284386094,1685696,212906624
2023-06-01,355583518,2048512,262761958
2023-07-01,434797607,2429705,315627725
2023-08-01,520563133,2829779,371070652
2023-09-01,614583455,3233180,429866758
2023-10-01,699604365,3622277,486101430
2023-11-01,778169459,3995998,540906999
2023-12-01,865269892,4425931,600667915
2024-01-01,72674033,340139,50497268
2024-02-01,139312353,679933,99542718
2024-03-01,217705337,1070042,156762103
2024-04-01,299420831,1480513,216871770
2024-05-01,370831778,1837847,271021512
2024-06-01,449270934,2202212,327671300
2024-07-01,539529761,2589703,390947830
2024-08-01,626345639,2968775,452105086
2024-09-01,719381866,3342728,509829866
2024-10-01,801209718,3726980,567586136
2024-11-01,880219918,4089998,625297072
2024-12-01,968854896,4484084,686350301
2025-01-01,72438819,324991,50793573
2025-02-01,144364971,675250,103535966
2025-03-01,225204896,1055146,159262123
2025-04-01,309495326,1463540,217214347
2025-05-01,387822660,1851285,272068471
2025-06-01,471367551,2228918,326799749
2025-07-01,566951024,2655337,390732096
2025-08-01,660880639,3044232,449632159
2025-09-01,757842023,3450968,511544922
2025-10-01,853550415,3859872,574068349
2025-11-01,939594836,4242590,633952191
2025-12-01,1033422162,4666067,701292546
2026-01-01,81748964,373178,59745596
2026-02-01,156909452,733485,116726277
2026-03-01,244275881,1163424,184570727
2026-04-01,337331543,1624092,258724056
2026-05-01,421168146,2016662,323759375
