Date,Quantity_Thousands,Weight_KG,Value_Thousand_JPY,Value_Billion_JPY,UnitPrice_JPY
2020-01-01,69735404,312587,35796452,35.796452,0.5133181991746976
2020-02-01,72490078,350791,39231220,39.23122,0.5411943411069305
2020-03-01,84053788,362257,41825073,41.825073,0.49759890654779293
2020-04-01,78427236,345605,40654518,40.654518,0.518372443981068
2020-05-01,74576736,306904,37451733,37.451733,0.502190562483185
2020-06-01,71062905,277884,33739849,33.739849,0.47478848493458015
2020-07-01,83411274,322532,38552331,38.552331,0.46219568592130605
2020-08-01,92925865,348633,42052149,42.052149,0.4525343831881468
2020-09-01,105091101,398771,47523582,47.523582,0.4522131897733187
2020-10-01,109032946,408195,47998151,47.998151,0.44021695057198584
2020-11-01,96623312,391237,44828713,44.828713,0.463953388391406
2020-12-01,109323535,446177,49800054,49.800054,0.4555291228005022
2021-01-01,95375371,390370,43716609,43.716609,0.4583637111094436
2021-02-01,94196603,394797,45099082,45.099082,0.47877609769006213
2021-03-01,89237639,419595,46500068,46.500068,0.5210813343011014
2021-04-01,98279831,435162,49682021,49.682021,0.5055159384635084
2021-05-01,85904880,438042,47228856,47.228856,0.5497808273522994
2021-06-01,94916166,436644,51042967,51.042967,0.5377689507601898
2021-07-01,103346675,448592,55475646,55.475646,0.5367917835769752
2021-08-01,99658205,436561,53490537,53.490537,0.5367399202102827
2021-09-01,112412836,438518,58172011,58.172011,0.5174854853764209
2021-10-01,88134256,428319,54106453,54.106453,0.6139094542308271
2021-11-01,89157552,384524,51790468,51.790468,0.5808870571053812
2021-12-01,96317030,431784,57485629,57.485629,0.5968376412769372
2022-01-01,81824609,388510,50635209,50.635209,0.6188261651210579
2022-02-01,75077352,362973,46993617,46.993617,0.6259359946525551
2022-03-01,84080630,421642,52854731,52.854731,0.6286195881263021
2022-04-01,90721476,404080,56614911,56.614911,0.6240519168801884
2022-05-01,76518588,379619,54630400,54.6304,0.7139494001117741
2022-06-01,69366006,384141,52481172,52.481172,0.7565834480941572
2022-07-01,81913096,384692,57113608,57.113608,0.6972463597273871
2022-08-01,83186731,365266,56093023,56.093023,0.6743025278875305
2022-09-01,92700013,380536,59657786,59.657786,0.6435574717772693
2022-10-01,80883591,386990,56473305,56.473305,0.6982047199165526
2022-11-01,66074598,346156,49854662,49.854662,0.754520852325125
2022-12-01,78473455,404423,55314529,55.314529,0.7048820394106516
2023-01-01,58110194,293990,39168735,39.168735,0.6740424063977484
2023-02-01,43541839,314920,37030350,37.03035,0.8504544330339378
2023-03-01,54654397,356686,43028483,43.028483,0.7872830981924474
2023-04-01,68422302,382734,49914132,49.914132,0.7295009162363465
2023-05-01,59657362,337366,43764924,43.764924,0.7336047477258548
2023-06-01,71197424,362816,49855334,49.855334,0.7002406997196977
2023-07-01,79214089,381193,52865767,52.865767,0.6673783372046354
2023-08-01,85765526,400074,55442927,55.442927,0.646447699743601
2023-09-01,94020322,403401,58796106,58.796106,0.6253552928695565
2023-10-01,85020910,389097,56234672,56.234672,0.66142166674057
2023-11-01,78565094,373721,54805569,54.805569,0.6975816639384407
2023-12-01,87100433,429933,59760916,59.760916,0.6861150276945236
2024-01-01,72674033,340139,50497268,50.497268,0.6948460944777897
2024-02-01,66638320,339794,49045450,49.04545,0.7359946949442903
2024-03-01,78392984,390109,57219385,57.219385,0.7299044133847489
2024-04-01,81715494,410471,60109667,60.109667,0.7355969358760776
2024-05-01,71410947,357334,54149742,54.149742,0.758283488384491
2024-06-01,78439156,364365,56649788,56.649788,0.7222131252916592
2024-07-01,90258827,387491,63276530,63.27653,0.7010564185594834
2024-08-01,86815878,379072,61157256,61.157256,0.7044478200174397
2024-09-01,93036227,373953,57724780,57.72478,0.6204548686180061
2024-10-01,81827852,384252,57756270,57.75627,0.7058265442431508
2024-11-01,79010200,363018,57710936,57.710936,0.7304238693232014
2024-12-01,88634978,394086,61053229,61.053229,0.688816428656416
2025-01-01,72438819,324991,50793573,50.793573,0.7011927265131145
2025-02-01,71926152,350259,52742393,52.742393,0.7332853424440112
2025-03-01,80839925,379896,55726157,55.726157,0.6893395435485622
2025-04-01,84290430,408394,57952224,57.952224,0.6875302925848166
2025-05-01,78327334,387745,54854124,54.854124,0.7003190482648114
2025-06-01,83544891,377633,54731278,54.731278,0.6551122078787559
2025-07-01,95583473,426419,63932347,63.932347,0.6688640305003356
2025-08-01,93929615,388895,58900063,58.900063,0.627065947198868
2025-09-01,96961384,406736,61912763,61.912763,0.6385301080273359
2025-10-01,95708392,408904,62523427,62.523427,0.6532700601635852
2025-11-01,86044421,382718,59883842,59.883842,0.6959642624592709
2025-12-01,93827326,423477,67340355,67.340355,0.7177051491374699
2026-01-01,81748964,373178,59745596,59.745596,0.7308422403983004
2026-02-01,75160488,360307,56980681,56.980681,0.7581201574955181
2026-03-01,87366429,429939,67844450,67.84445,0.7765505672665184
2026-04-01,93055662,460668,74153329,74.153329,0.7968706836989672
2026-05-01,83836603,392570,65035319,65.035319,0.7757389573620964
